State,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
State,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alabama,21693,342,1296,5020,15035,168878,47481,111523,9874,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8
Alaska,4412,30,583,630,3169,20037,2950,15565,1522,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1
Arizona,28108,358,2277,7386,18087,231930,52934,159838,19158,428.9,5.5,34.7,112.7,276,3539.2,807.8,2439.1,292.3
Arkansas,13835,173,1247,2320,10095,107941,31890,70327,5724,469.1,5.9,42.3,78.7,342.3,3660.1,1081.3,2384.7,194.1
California,160944,1884,7837,56521,94702,1049465,245767,635090,168608,423.1,5,20.6,148.6,248.9,2758.7,646.1,1669.5,443.2
Colorado,16023,162,2113,3395,10353,139270,26157,101021,12092,308.9,3.1,40.7,65.4,199.6,2684.7,504.2,1947.4,233.1
Connecticut,10160,146,919,3687,5408,76834,14711,55674,6449,283,4.1,25.6,102.7,150.6,2140,409.7,1550.7,179.6
Delaware,5020,57,243,1492,3228,30639,7371,21832,1436,547.4,6.2,26.5,162.7,352,3340.9,803.7,2380.6,156.6
District of Columbia,7864,88,236,4036,3504,30736,3519,23556,3661,1243.7,13.9,37.3,638.3,554.1,4860.8,556.5,3725.3,579
Florida,94087,1009,5260,23889,63929,632988,153563,442095,37330,487.1,5.2,27.2,123.7,330.9,3276.7,794.9,2288.6,193.2
Georgia,37591,581,2124,12463,22423,338329,86789,223004,28536,378.9,5.9,21.4,125.6,226,3410.6,874.9,2248,287.7
Hawaii,3330,29,285,1040,1976,42817,7979,31233,3605,239.2,2.1,20.5,74.7,141.9,3075.2,573.1,2243.2,258.9
Idaho,3318,29,479,243,2567,31651,7186,23101,1364,207.9,1.8,30,15.2,160.9,1983.5,450.3,1447.7,85.5
Illinois,53403,744,3570,19471,29618,332013,71101,235222,25690,414.8,5.8,27.7,151.2,230,2578.7,552.2,1826.9,199.5
Indiana,22602,310,1667,6598,14027,198032,47612,136759,13661,345.7,4.7,25.5,100.9,214.6,3029.2,728.3,2092,209
Iowa,8112,45,871,962,6234,69839,17096,48720,4023,263.9,1.5,28.3,31.3,202.8,2271.8,556.1,1584.8,130.9
Kansas,10232,84,1053,1500,7595,90710,18767,65165,6778,354.6,2.9,36.5,52,263.2,3143.2,650.3,2258,234.9
Kentucky,9752,195,1272,3535,4750,111826,29587,75571,6668,222.6,4.5,29,80.7,108.4,2552.9,675.4,1725.2,152.2
Louisiana,22868,495,1158,5475,15740,162936,42140,112915,7881,496.9,10.8,25.2,119,342,3540.6,915.7,2453.7,171.3
Maine,1631,25,372,423,811,33361,7461,24905,995,122.7,1.9,28,31.8,61,2509.9,561.3,1873.7,74.9
Maryland,28055,369,1235,10141,16310,162031,33732,113274,15025,476.8,6.3,21,172.3,277.2,2753.5,573.2,1924.9,255.3
Massachusetts,26953,121,1642,6552,18638,143089,34540,99317,9232,405.5,1.8,24.7,98.6,280.4,2153,519.7,1494.4,138.9
Michigan,44922,689,4589,10434,29210,250101,65665,159321,25115,454.5,7,46.4,105.6,295.5,2530.5,664.4,1612,254.1
Minnesota,12419,99,1638,3475,7207,138152,25378,104316,8458,230.9,1.8,30.5,64.6,134,2568.3,471.8,1939.3,157.2
Mississippi,7786,220,822,2284,4460,83906,28076,51508,4322,260.8,7.4,27.5,76.5,149.4,2811,940.6,1725.6,144.8
Missouri,27155,389,1511,5782,19473,199590,42466,140816,16308,450.9,6.5,25.1,96,323.4,3314.4,705.2,2338.4,270.8
Montana,2736,27,379,191,2139,25970,3894,20387,1689,272.2,2.7,37.7,19,212.8,2583.7,387.4,2028.3,168
Nebraska,4814,53,711,1130,2920,51118,8735,38236,4147,259.4,2.9,38.3,60.9,157.4,2754.9,470.8,2060.7,223.5
Nevada,16763,124,931,4918,10790,77510,22120,45372,10018,607.6,4.5,33.7,178.3,391.1,2809.4,801.8,1644.6,363.1
New Hampshire,2481,15,449,472,1545,30693,5444,24226,1023,187.9,1.1,34,35.7,117,2324,412.2,1834.3,77.5
New Jersey,25727,388,1035,11385,12919,181481,42338,122662,16481,290.2,4.4,11.7,128.4,145.7,2047.3,477.6,1383.7,185.9
New Mexico,11660,116,957,1847,8740,75094,21384,48247,5463,559.1,5.6,45.9,88.6,419.1,3600.7,1025.3,2313.4,261.9
New York,79610,684,2848,28655,47423,376140,64553,294239,17348,406.8,3.5,14.6,146.4,242.3,1922,329.9,1503.5,88.6
North Carolina,34464,479,1984,9392,22609,328594,99323,213151,16120,353.4,4.9,20.3,96.3,231.8,3369.5,1018.5,2185.7,165.3
North Dakota,1712,28,272,131,1281,14063,2377,10535,1151,244.7,4,38.9,18.7,183.1,2010.1,339.8,1505.8,164.5
Ohio,34595,495,3658,15235,15207,359883,103421,236950,19512,299.7,4.3,31.7,132,131.7,3117.4,895.9,2052.5,169
Oklahoma,17902,216,1588,3231,12867,129743,35731,82448,11564,469.3,5.7,41.6,84.7,337.3,3401,936.6,2161.3,303.1
Oregon,9653,92,1140,2413,6008,125723,21901,93619,10203,247.6,2.4,29.2,61.9,154.1,3224.2,561.7,2400.9,261.7
Pennsylvania,44503,685,3327,15673,24818,276496,56859,204609,15028,348.7,5.4,26.1,122.8,194.4,2166.3,445.5,1603.1,117.7
Rhode Island,2651,34,288,713,1616,27017,5949,18440,2628,252.4,3.2,27.4,67.9,153.9,2572.3,566.4,1755.7,250.2
South Carolina,26397,324,1679,4489,19905,180550,45086,122263,13201,558.8,6.9,35.5,95,421.4,3822.2,954.5,2588.3,279.5
South Dakota,2682,25,585,158,1914,17168,3258,12845,1065,321.8,3,70.2,19,229.7,2060.1,391,1541.4,127.8
Tennessee,41550,388,2032,8169,30961,217664,56181,148503,12980,643.6,6,31.5,126.5,479.6,3371.4,870.2,2300.1,201
Texas,106476,1144,7711,30382,67239,876059,204810,606253,64996,408.6,4.4,29.6,116.6,258,3361.8,785.9,2326.4,249.4
Utah,5876,50,943,1100,3783,85424,12943,66482,5999,205.8,1.8,33,38.5,132.5,2991.8,453.3,2328.4,210.1
Vermont,893,8,121,112,652,15016,3965,10616,435,142.6,1.3,19.3,17.9,104.2,2398.7,633.4,1695.8,69.5
Virginia,15564,314,1452,4706,9092,176985,29511,138398,9076,190.1,3.8,17.7,57.5,111.1,2162.1,360.5,1690.7,110.9
Washington,20386,206,2193,5745,12242,252333,60725,165206,26402,295.6,3,31.8,83.3,177.5,3658.6,880.5,2395.3,382.8
West Virginia,5869,72,421,838,4538,43878,11291,30378,2209,316.3,3.9,22.7,45.2,244.6,2364.9,608.5,1637.3,119.1
Wisconsin,16064,173,1219,4622,10050,140513,27945,104352,8216,280.5,3,21.3,80.7,175.5,2453.8,488,1822.3,143.5
Wyoming,1161,14,154,61,932,13222,2125,10513,584,201.4,2.4,26.7,10.6,161.7,2293.8,368.7,1823.9,101.3
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
